source_id,title,comment_source,author,date,publisher,signature,language_source,note,mediatype,annote,collection,edition,volume,issue,pages,isbn,issn,address,organization,url,date_format,license_source,doi_source,sourcetype,year,institution,month,booktitle,editor,chapter,journal,series,school,chronic,crossref,key,howpublished
4486,"Goethes Italienische Reise↵Auch ich in Arkadien!",,"Johann Wolfgang von Goethe",,"Leipzig, Insel Verlag",,de,,,,,,1,3,122-175,978-3458318767,,,,http://www.fullbooks.com/Italienische-Reise-Teil-13.html,yyyy-MM-dd,cc-by,10.6094/tambora.org/2018/c58/csv.zip,book,,,,,,,,,,,,,
4487,"Goethes Italienische Reise↵Auch ich in Arkadien!",,"Johann Wolfgang von Goethe",,"Leipzig, Insel Verlag",,de,,,,,,1,4,175-232,978-3458318767,,,,http://www.fullbooks.com/Italienische-Reise-Teil-14.html,yyyy-MM-dd,cc-by,10.6094/tambora.org/2018/c58/csv.zip,book,,,,,,,,,,,,,
4489,"Goethes Italienische Reise↵Auch ich in Arkadien!",,"Johann Wolfgang von Goethe",,"Leipzig, Insel Verlag",,de,,,,,,1,2,67-122,978-3458318767,,,,http://www.fullbooks.com/Italienische-Reise-Teil-12.html,yyyy-MM-dd,cc-by,10.6094/tambora.org/2018/c58/csv.zip,book,,,,,,,,,,,,,
